" blocs"|lang.DIALOG_STRING1
"Pour générer ta clé publique, manipule ta clé privée avec <img src='img/icn-arrow-left.png' class='keyboard-key'>, <img src='img/icn-arrow-up.png' class='keyboard-key'> et <img src='img/icn-arrow-right.png' class='keyboard-key'> puis fais-la tomber six ou sept fois avec la touche <img src='img/icn-arrow-down.png' class='keyboard-key'>."|lang.DIALOG_STRING82
"Premier challenge décrypté : "|lang.DIALOG_STRING83
"Premier jour à l'institut"|lang.DIALOG_STRING84
"Précédent"|lang.TXT_PREV
"Préparation du niveau de jeu"|lang.DIALOG_STRING85
"Quatrième challenge décrypté : "|lang.DIALOG_STRING86
"Recommencer"|lang.TXT_RESTART
"Reprendre"|lang.TXT_RESUME
"Rotate"|lang.TXT_ROTATE
"Si tu as besoin d'aide, appuie sur le bouton '?' et je te donnerai toutes les informations nécessaires."|lang.DIALOG_STRING87
"Si vous le dites..."|lang.DIALOG_STRING88
"Suite"|lang.TXT_NEXT
"Séléctionner le cable à débrancher"|lang.DIALOG_STRING89
"Ta clé privée est la clé que toi seul connaîtra, c'est elle qui te permettra de déchiffrer facilement les message qui te seront envoyés. <em>Sans la clé privée il est très difficile,</em> voir impossible, <em>de déchiffrer un message crypté.</em>"|lang.DIALOG_STRING90
"Ta clé privée se trouve en haut. Utilise les touches <img src='img/icn-arrow-left.png' class='keyboard-key'> et <img src='img/icn-arrow-right.png'  class='keyboard-key'> pour la manipuler selon ton envie. Appuie sur la touche <img src='img/icn-arrow-up.png' class='keyboard-key'> ou <img src='img/icn-space.png' class='keyboard-key'> pour inverser ta clé et lorsque tu seras prêt, appuie sur la touche <img src='img/icn-arrow-down.png' class='keyboard-key'> pour valider ton choix."|lang.DIALOG_STRING91
"Ta clé publique sera dérivée de ta clé privée. De la même manière qu'un <em>cadenas</em> permet de <em>sécuriser le contenu d'un coffre,</em> la <em>clé publique</em> permet de <em>chiffrer des messages</em> et les rendre illisibles à ceux qui ne disposent pas de la clé privée."|lang.DIALOG_STRING92
"Taille de la clé (blocs)"|lang.DIALOG_STRING93
"Temps de jeu : "|lang.DIALOG_STRING94
"There were invalid base64 characters in the input text.\n"|lang.DIALOG_STRING95
"Troisième challenge décrypté : "|lang.DIALOG_STRING96
"Très bien, tu as compris ! Cependant la clé publique générée n'est pas suffisamment sécurisée, l'ordinateur va arranger cela."|lang.DIALOG_STRING97
"Très bien, tu as débranché le bon câble ! Plus qu'un panneau électrique et je pourrai enfin sortir !"|lang.DIALOG_STRING98
"Tu es stagiaire dans une équipe de recherche Inria"|lang.DIALOG_STRING99
"Tu n'y arrives pas ? C'est peut-être normal ! Je te rappelle le principe de la cryptographie asymétrique : la clé secrète rend le déchiffrement facile, mais c'est très difficile voire impossible avec la clé publique. Choisis bien à&nbsp;qui tu donnes quelle clé!"|lang.DIALOG_STRING100
"Tu vas maintenant créer ta paire de clé privée / clé publique mais<span>...</span> n’oublie pas, cette clé privée est... privée ! Toi seul dois la connaître ! Ta clé publique sera diffusée sur le réseau à l’ensemble des chercheurs de l’Institut."|lang.DIALOG_STRING101
"Une clé publique ? Pourquoi ma clé serait-elle publique ?"|lang.DIALOG_STRING102
"Valid base64 characters are A-Z, a-z, 0-9, '+', '/',and '='\n"|lang.DIALOG_STRING103
"Voici le message que j'ai crypté à l’aide de ta <em>clé publique</em>, pour le décrypter tu dois utiliser ta <em>clé privée.</em> Manipule ta clé comme tout à l’heure avec <img src='img/icn-arrow-left.png' class='keyboard-key'> et <img src='img/icn-arrow-right.png'  class='keyboard-key'> pour déplacer les colonnes et <img src='img/icn-arrow-up.png' class='keyboard-key'> ou <img src='img/icn-space.png' class='keyboard-key'>. pour inverser les couleurs des blocs."|lang.DIALOG_STRING104
"Voici ta clé privée, elle s'affiche en haut de ton écran, utilise les touches <img src='img/icn-arrow-left.png' class='keyboard-key'> et <img src='img/icn-arrow-right.png'  class='keyboard-key'> pour la manipuler selon ton envie. Appuie sur la touche <img src='img/icn-arrow-up.png' class='keyboard-key'> ou <img src='img/icn-space.png' class='keyboard-key'> pour inverser ta clé et lorsque tu seras prêt, appuie sur la touche <img src='img/icn-arrow-down.png' class='keyboard-key'> pour valider ton choix."|lang.DIALOG_STRING105
"Zut, le serveur essaie lui aussi de décrypter le message, <em>heureusement il ne dispose que de ta clé publique !</em> Je t’envoie en temps réel les informations correspondant à son avancé, dépêche toi de décrypter le message avant qu’il n’arrive à casser le code."|lang.DIALOG_STRING106
"st-ce que tu me reçois ? C’est vraiment bizarre, notre serveur refuse obstinément de se re-configurer et m'empêche de sortir <sspan>de la salle </sspan>des machines, essaie de débrancher le câble n° 42 du tableau électrique principal."|lang.DIALOG_STRING107
"Échec"|lang.TXT_FAILURE
"Échec."|lang.TXT_FAILURE
'Serveur'|lang.TXT_ADVERSARY
